ingredient,quantity
Barbecued Chicken,13
Red Peppers,98
Green Peppers,29
Tomatoes,140
Red Onions,112
Barbecue Sauce,13
Chicken,53
Artichoke,15
Spinach,30
Garlic,163
Jalapeno Peppers,35
Fontina Cheese,19
Gouda Cheese,15
Mushrooms,40
Asiago Cheese,18
Alfredo Sauce,5
Pesto Sauce,15
Corn,20
Cilantro,20
Chipotle Sauce,20
Pineapple,31
Thai Sweet Chilli Sauce,17
Bacon,5
Pepperoni,31
Italian Sausage,5
Chorizo Sausage,5
Pepperoni,19
Bacon,12
Sliced Ham,14
Mozzarella Cheese,40
Capocollo,21
Goat Cheese,21
Oregano,9
Tomatoes,16
Anchovies,7
Green Olives,32
Mozzarella Cheese,21
Kalamata Olives,10
Feta Cheese,27
Beef Chuck Roast,10
Brie Carre Cheese,1
Prosciutto,1
Caramelized Onions,1
Pears,1
Thyme,1
Nduja Salami,5
Pancetta,5
Friggitello Peppers,5
Calabrese Salami,11
Capocollo,20
Genoa Salami,9
Prosciutto di San Daniele,7
Arugula,7
Coarse Sicilian Salami,10
Luganega Sausage,10
Onions,10
Soppressata Salami,5
Artichokes,31
Peperoncini verdi,12
Spinach,26
Kalamata Olives,10
Provolone Cheese,9
Smoked Gouda Cheese,9
Romano Cheese,9
Blue Cheese,9
Ricotta Cheese,15
Gorgonzola Piccante Cheese,15
Parmigiano Reggiano Cheese,15
Eggplant,5
Zucchini,15
Sun-dried Tomatoes,10
Plum Tomatoes,6
Mushrooms,10
