order_id,date,time
8886,29/05/2016,18:58 PM 
11424,10/07/2016,14:36:32 
19361,26/11/2016,18:42 PM 
4489,17/03/2016, 
7112,30/04/2016,12:15:54 
3713,03/04/2016,00H 00M 00S 
892,15/01/2016,00:00 AM 
7810,11/05/2016,19:20 PM 
10155,19/06/2016,00H 00M 00S 
3824,06/03/2016,12H 37M 22S 
18673,14/11/2016,21:06 PM 
16187,30/09/2016,13:42:13 
12314,24/07/2016,21:31 PM 
19260,25/11/2016,15:57:45 
2651,13/02/2016,20:59 PM 
15614,18/09/2016,13H 45M 49S 
9347,06/06/2016,00H 00M 00S 
17625,28/10/2016,11H 20M 42S 
9981,16/06/2016,19:50 PM 
10258,21/06/2016,18H 33M 38S 
19347,26/11/2016,17:23 PM 
1504,26/01/2016,12H 44M 38S 
19883,12/04/2016,00:00 AM 
18739,16/11/2016,12:37:55 
17843,31/10/2016, 
7781,05/11/2016,00:00:00 
20287,11/12/2016,13:18:39 
18950,19/11/2016,22:12:28 
5534,03/04/2016,17:04 PM 
7866,12/05/2016,18H 33M 59S 
2202,06/02/2016,15:31:14 
12250,24/07/2016,11:49:07 
14665,02/09/2016,17H 43M 29S 
4468,16/03/2016,21H 13M 23S 
5399,04/01/2016,00:00 AM 
4216,12/03/2016,18:23 PM 
18459,11/11/2016,00:00 AM 
2477,02/11/2016,00H 00M 00S 
14795,04/09/2016,20:40 PM 
16678,09/10/2016,13H 48M 13S 
18708,15/11/2016,00:00 AM 
11615,13/07/2016,17H 12M 05S 
16244,01/10/2016,12:48:18 
9976,16/06/2016,19:02 PM 
7833,05/12/2016, 
20400,13/12/2016,11:38 AM 
14792,04/09/2016,19H 17M 30S 
4050,09/03/2016,20H 23M 00S 
20545,15/12/2016,18:28 PM 
14122,24/08/2016,11H 45M 31S 
13109,07/08/2016,14:34 PM 
186,03/01/2016,19:36 PM 
4753,21/03/2016,16H 12M 25S 
12569,29/07/2016,16:22 PM 
6537,20/04/2016,00:00:00 
7099,29/04/2016,00H 00M 00S 
10332,23/06/2016,11H 55M 05S 
18620,13/11/2016,00H 00M 00S 
18329,09/11/2016,11:45:34 
14959,07/09/2016, 
20900,21/12/2016,00:00 AM 
6502,20/04/2016,00:00:00 
12982,05/08/2016,12:49 PM 
6436,18/04/2016,19:52:25 
11804,16/07/2016, 
3146,22/02/2016,15H 55M 09S 
14786,04/09/2016,18:44 PM 
4479,17/03/2016,13:33 PM 
1448,24/01/2016, 
20707,18/12/2016,00H 00M 00S 
6060,12/04/2016,17:00 PM 
4079,10/03/2016,14:36 PM 
17925,01/11/2016,19H 41M 12S 
14100,23/08/2016,17:30 PM 
